LEVEL1,LEVEL2,LEVEL3,LEVEL4,TOOLTIP,SOURCE,SOURCE URL,2012,2013,2014,2015,2016,LEVEL
General Fund,Non-Departmental,Non-Program Revenues,Approp From Special Reserve,,,,,,,,4124,4
General Fund,Non-Departmental,Non-Program Revenues,Arrest Fees,,,,,157660,,,,4
General Fund,Non-Departmental,Non-Program Revenues,Auto License - State,,,,,,,,9740000,4
General Fund,Non-Departmental,Non-Program Revenues,Automobile License,,,,,7850000,9300000,9390000,,4
General Fund,Non-Departmental,Non-Program Revenues,Controlled Substance Tax-Polic,,,,,120000,,,,4
General Fund,Non-Departmental,Non-Program Revenues,Cor Drug Forfeit (Wcpss 90%),,,,,180000,,,,4
General Fund,Non-Departmental,Non-Program Revenues,County Auto License Overlap,,,,,,3000000,,,4
General Fund,Non-Departmental,Non-Program Revenues,County Vehicle Tax Overlap,,,,,,4900000,,,4
General Fund,Non-Departmental,Non-Program Revenues,Current Yr Tax Levy,,,,,190260382,194483330,207937000,207755000,4
General Fund,Non-Departmental,Non-Program Revenues,Current Yr Tax Levy - State,,,,,,,,15239000,4
General Fund,Non-Departmental,Non-Program Revenues,Current Yr Tax Levy (Durham Co,,,,,,,674000,710000,4
General Fund,Non-Departmental,Non-Program Revenues,Current Yr Tax Levy-Msd (Combi,,,,,1209705,1199700,1210000,1282250,4
General Fund,Non-Departmental,Non-Program Revenues,False Alarm Billing Fees-Polic,,,,,390000,,,,4
General Fund,Non-Departmental,Non-Program Revenues,Fr 130 Revolving Fund,,,,,59818,61121,60000,,4
General Fund,Non-Departmental,Non-Program Revenues,Fr 230 For Ind Cost,,,,,77185,54463,505263,464848,4
General Fund,Non-Departmental,Non-Program Revenues,Fr 230 Self Insurance,,,,,,5000000,3315000,,4
General Fund,Non-Departmental,Non-Program Revenues,Fr 310 Reimb Engineering,,,,,259989,234617,214436,292822,4
General Fund,Non-Departmental,Non-Program Revenues,Fr 310 Reimb Gen Svcs,,,,,13620114,8519011,8172793,7842293,4
General Fund,Non-Departmental,Non-Program Revenues,Fr 310 Reimb Sewer St Cuts,,,,,540000,540000,540000,555000,4
General Fund,Non-Departmental,Non-Program Revenues,Fr 310 Reimb Water St Cuts,,,,,780000,780000,780000,1560000,4
General Fund,Non-Departmental,Non-Program Revenues,Fr 310-Reimb Attorney Off,,,,150000,150000,,,,4
General Fund,Non-Departmental,Non-Program Revenues,Fr 360 Indirect Cost,,,,,5974915,2755848,2784751,3108578,4
General Fund,Non-Departmental,Non-Program Revenues,Fr 410 For Ind Cost,,,,,917943,680955,455593,466567,4
General Fund,Non-Departmental,Non-Program Revenues,Fr 442 Reimb Ind Costs,,,,,506135,516229,533115,504556,4
General Fund,Non-Departmental,Non-Program Revenues,Fr 460 Reimb Direct St Strmwtr,,,,,3056587,3088538,2962376,3031790,4
General Fund,Non-Departmental,Non-Program Revenues,Fr 460 Reimb Ind Costs,,,,,2699296,1629233,2590865,2758978,4
General Fund,Non-Departmental,Non-Program Revenues,Fr 505 Misc Cap Proj,,,,1667486,,,,,4
General Fund,Non-Departmental,Non-Program Revenues,Fr 515 Sidewalk,,,,200000,,,,,4
General Fund,Non-Departmental,Non-Program Revenues,Fr 642 For Ind Cost,,,,,1546686,1410589,1474806,1508840,4
General Fund,Non-Departmental,Non-Program Revenues,Fr 700 Powell Bill Fd,,,,,5672520,,,,4
General Fund,Non-Departmental,Non-Program Revenues,Fr 736 Trans Hsing,,,,,,,500000,,4
General Fund,Non-Departmental,Non-Program Revenues,Fr 741 For Ind Cost,,,,,255599,267720,170503,206727,4
General Fund,Non-Departmental,Non-Program Revenues,Fr 810 for Indirect Cost,,,,,,83125,100000,100000,4
General Fund,Non-Departmental,Non-Program Revenues,Hillsborough MSD-Current Year,,,,,179891,191700,267000,280000,4
General Fund,Non-Departmental,Non-Program Revenues,Interest On Investments,,,,,1088000,1054881,1220000,1573000,4
General Fund,Non-Departmental,Non-Program Revenues,Last Year Tax Levy,,,,,1670000,1670000,1700000,700000,4
General Fund,Non-Departmental,Non-Program Revenues,Local Sales Tax,,,,,31673251,34045510,38379000,40270000,4
General Fund,Non-Departmental,Non-Program Revenues,Misc Revenues,,,,,700000,700000,900000,380000,4
General Fund,Non-Departmental,Non-Program Revenues,Nc Beer & Wine Tax,,,,,1750000,1795000,1700000,1978097,4
General Fund,Non-Departmental,Non-Program Revenues,Nc Franchise Tax,,,,,23300000,21615500,21700000,25594694,4
General Fund,Non-Departmental,Non-Program Revenues,Occupancy Tax,,,,,680000,680000,680000,680000,4
General Fund,Non-Departmental,Non-Program Revenues,Payment In Lieu Of Taxes-Rha,,,,,219940,250000,255000,255000,4
General Fund,Non-Departmental,Non-Program Revenues,Pilot-Centennial Authority,,,,,840356,860830,886000,947228,4
General Fund,Non-Departmental,Non-Program Revenues,Police False Alarm Late Fee,,,,,12900,,,,4
General Fund,Non-Departmental,Non-Program Revenues,Powell Bill Allocation,,,,,,10380000,10534000,10407330,4
General Fund,Non-Departmental,Non-Program Revenues,Prior Years Tax Levy,,,,,224398,224398,299000,130000,4
General Fund,Non-Departmental,Non-Program Revenues,Privilege License (Sch B),,,,,7100648,7100648,7101000,,4
General Fund,Non-Departmental,Non-Program Revenues,Prop Tax Late List Pen (Wcpss,,,,,172000,172000,172000,160000,4
General Fund,Non-Departmental,Non-Program Revenues,Rental Income,,,,,8000,8000,8000,8000,4
General Fund,Non-Departmental,Non-Program Revenues,Rent-One Exchange Plaza,,,,,341770,343894,,,4
General Fund,Non-Departmental,Non-Program Revenues,Sales Of Surplus Property,,,,100000,,,,,4
General Fund,Non-Departmental,Non-Program Revenues,School Resource Officer (Sro),,,,,414273,,,,4
General Fund,Non-Departmental,Non-Program Revenues,Stanhope Housing PILOT,,,,,,,,46510,4
General Fund,Non-Departmental,Non-Program Revenues,Supplemental Sales Tax,,,,,37022285,40186837,41321000,46443000,4
General Fund,Non-Departmental,Non-Program Revenues,Tax On Heavy Equip Rentals,,,,,175000,175000,175000,305000,4
General Fund,Non-Departmental,Non-Program Revenues,Tax On Rental Vehicles,,,,,446000,446000,475000,500000,4
General Fund,Non-Departmental,Non-Program Revenues,Tax Penalties & Cost,,,,,694659,694659,770000,600000,4
General Fund,Non-Departmental,Non-Program Revenues,Taxi Cab Fines (Wcpss 90%),,,,,1575,,,,4
General Fund,Non-Departmental,Non-Program Revenues,Taxi Driver Fees,,,,,100000,,,,4
General Fund,Non-Departmental,Non-Program Revenues,Taxi License,,,,,5000,10000,10000,10000,4
General Fund,Non-Departmental,Non-Program Revenues,Violation-Dog/Cat Pntly (Wcpss,,,,,21000,21000,21000,21000,4
General Fund,Non-Departmental,Non-Program Revenues Total,,,,,2117486,359370480,375833732,387513501,403077232,3
General Fund,Non-Departmental Total,,,,,,344152633,359370480,375833732,387513501,403077232,2
General Fund,Office of Economic Development,Non-Program Revenues,MWBE Expo Support Revenue,,,,,,,6000,6000,4
General Fund,Office of Economic Development,Non-Program Revenues Total,,,,,,,,6000,6000,3
General Fund,Office of Economic Development Total,,,,,,,,,6000,6000,2
General Fund,Planning,Blank Program Code,Planning Dept Misc Revenue,,,,1500,,,,,4
General Fund,Planning,Blank Program Code,Planning-Expedite Prelim Revie,,,,1000,,,,,4
General Fund,Planning,Blank Program Code Total,,,,,2500,,,,,3
General Fund,Planning,Long Range Planning,County Match,,,,,,4552,,,4
General Fund,Planning,Long Range Planning Total,,,,,,,4552,,,3
General Fund,Planning,Non-Program Revenues,Insp Private Use-Minor Encroac,,,,,,1800,2000,4000,4
General Fund,Planning,Non-Program Revenues,Insp Private Use-News Rack,,,,,,2200,2200,1500,4
General Fund,Planning,Non-Program Revenues,Insp Private Use-Outdoor Dinin,,,,,,3700,4650,4700,4
General Fund,Planning,Non-Program Revenues,Insp Private Use-Street Vendor,,,,,,3500,8550,9000,4
General Fund,Planning,Non-Program Revenues,Inspect-Homeowner Recover Fee-,,,,,,4000,3500,3500,4
General Fund,Planning,Non-Program Revenues,Insp-Encroachment Agreement,,,,,,500,,,4
General Fund,Planning,Non-Program Revenues,Planning Dept Misc Revenue,,,,,1500,12000,15000,20000,4
General Fund,Planning,Non-Program Revenues,Planning-Expedite Prelim Revie,,,,,1000,,,,4
General Fund,Planning,Non-Program Revenues,Sign Permit Fee,,,,,,130000,100000,,4
General Fund,Planning,Non-Program Revenues,Violations-Zoning (Wcpss 90%),,,,,,10000,,,4
General Fund,Planning,Non-Program Revenues,Zoning & Subdivision Fees,,,,,,350000,400673,,4
General Fund,Planning,Non-Program Revenues,Zoning Permit Fee,,,,,,254000,353593,500000,4
General Fund,Planning,Non-Program Revenues,Zoning-Code Violations,,,,,,3000,1200,1200,4
General Fund,Planning,Non-Program Revenues,Zoning-P/N Vehicle,,,,,,1200,,,4
General Fund,Planning,Non-Program Revenues Total,,,,,,2500,775900,891366,543900,3
General Fund,Planning Total,,,,,,2500,2500,780452,891366,543900,2
General Fund,Police Administrative Services,Blank Program Code,Arrest Fees,,,,157660,,,,,4
General Fund,Police Administrative Services,Blank Program Code,Controlled Substance Tax-Polic,,,,120000,,,,,4
General Fund,Police Administrative Services,Blank Program Code,Cor Drug Forfeit (Wcpss 90%),,,,32000,,,,,4
General Fund,Police Administrative Services,Blank Program Code,False Alarm Billing Fees-Polic,,,,390000,,,,,4
General Fund,Police Administrative Services,Blank Program Code,Police False Alarm Late Fee,,,,12900,,,,,4
General Fund,Police Administrative Services,Blank Program Code,School Resource Officer (Sro),,,,340542,,,,,4
General Fund,Police Administrative Services,Blank Program Code,Spca Reimb Revenue,,,,294000,,,,,4
General Fund,Police Administrative Services,Blank Program Code,Taxi Cab Fines (Wcpss 90%),,,,1575,,,,,4
General Fund,Police Administrative Services,Blank Program Code,Taxi Driver Fees,,,,15000,,,,,4
General Fund,Police Administrative Services,Blank Program Code,Taxi License,,,,5000,,,,,4
General Fund,Police Administrative Services,Blank Program Code,Violation-Dog/Cat Pntly (Wcpss,,,,21000,,,,,4
General Fund,Police Administrative Services,Blank Program Code Total,,,,,1389677,,,,,3
General Fund,Police Administrative Services,Non-Program Revenues,Arrest Fees,,,,,,157660,157660,157660,4
General Fund,Police Administrative Services,Non-Program Revenues,Controlled Substance Tax-Polic,,,,,,120000,120000,120000,4
General Fund,Police Administrative Services,Non-Program Revenues,Cor Drug Forfeit (Wcpss 90%),,,,,,180000,180000,200000,4
General Fund,Police Administrative Services,Non-Program Revenues,False Alarm Billing Fees-Polic,,,,,,390000,390000,390000,4
General Fund,Police Administrative Services,Non-Program Revenues,Police False Alarm Late Fee,,,,,,12900,12900,12900,4
General Fund,Police Administrative Services,Non-Program Revenues,School Resource Officer (Sro),,,,,,414273,340542,340542,4
General Fund,Police Administrative Services,Non-Program Revenues,Taxi Cab Fines (Wcpss 90%),,,,,,1575,1575,1575,4
General Fund,Police Administrative Services,Non-Program Revenues,Taxi Driver Fees,,,,,,100000,100000,100000,4
General Fund,Police Administrative Services,Non-Program Revenues Total,,,,,,,1376408,1302677,1322677,3
General Fund,Police Administrative Services Total,,,,,,1389677,,1376408,1302677,1322677,2
General Fund,PRCR - Business Process Mgmt,Non-Program Revenues,School Based Program Fees,,,,,,,30000,30000,4
General Fund,PRCR - Business Process Mgmt,Non-Program Revenues Total,,,,,,,,30000,30000,3
General Fund,PRCR - Business Process Mgmt Total,,,,,,,,,30000,30000,2
General Fund,PRCR - F&O - City Fac Maint,Non-Program Revenues,Rental Fee-900 S Wilmington St,,,,,,,32000,26570,4
General Fund,PRCR - F&O - City Fac Maint,Non-Program Revenues,Rent-One Exchange Plaza,,,,,,,372000,384042,4
General Fund,PRCR - F&O - City Fac Maint,Non-Program Revenues Total,,,,,,,,404000,410612,3
General Fund,PRCR - F&O - City Fac Maint Total,,,,,,,,,404000,410612,2
General Fund,PRCR - F&O - Park Fac Maint,Non-Program Revenues,Fees/Sales,,,,,,,35000,35000,4
General Fund,PRCR - F&O - Park Fac Maint,Non-Program Revenues Total,,,,,,,,35000,35000,3
General Fund,PRCR - F&O - Park Fac Maint Total,,,,,,,,,35000,35000,2
General Fund,PRCR - Parks - Cemetery Maint,Non-Program Revenues,Cemetery Lots & Svcs,,,,100000,100000,100000,100000,87000,4
General Fund,PRCR - Parks - Cemetery Maint,Non-Program Revenues Total,,,,,100000,100000,100000,100000,87000,3
General Fund,PRCR - Parks - Cemetery Maint Total,,,,,,100000,100000,100000,100000,87000,2
General Fund,PRCR - Recreation,Aquatics Administration,Pool Fees,,,,,,127000,200000,210000,4
General Fund,PRCR - Recreation,Aquatics Administration Total,,,,,,,127000,200000,210000,3
General Fund,PRCR - Recreation,Non-Program Revenues,Athletic Fees,,,,300000,325000,325000,330000,345000,4
General Fund,PRCR - Recreation,Non-Program Revenues,Athletic Fees-Youth,,,,60000,65000,65000,70000,70000,4
General Fund,PRCR - Recreation,Non-Program Revenues,Community Ctr Fees,,,,300000,335000,350000,408275,420000,4
General Fund,PRCR - Recreation,Non-Program Revenues,County Spec Pops Support,,,,134000,,,,110000,4
General Fund,PRCR - Recreation,Non-Program Revenues,Lake Fees,,,,270000,260000,280000,278760,281260,4
General Fund,PRCR - Recreation,Non-Program Revenues,P&R Misc Income,,,,15000,30000,40000,50000,50000,4
General Fund,PRCR - Recreation,Non-Program Revenues,Park Fees,,,,545000,845000,1045000,1020000,1020000,4
General Fund,PRCR - Recreation,Non-Program Revenues,Playground Prog Fees,,,,340000,375000,410000,480000,480000,4
General Fund,PRCR - Recreation,Non-Program Revenues,Pool Fees,,,,783000,899000,850000,790830,889100,4
General Fund,PRCR - Recreation,Non-Program Revenues,Walnut Crk Softball Fees,,,,90000,90000,90000,90000,90000,4
General Fund,PRCR - Recreation,Non-Program Revenues Total,,,,,2837000,3224000,3455000,3517865,3755360,3
General Fund,PRCR - Recreation Total,,,,,,2837000,3224000,3582000,3717865,3965360,2
General Fund,PRCR - Recreation-School Based,Non-Program Revenues,School Based Program Fees,,,,1550000,1550000,1550000,1836300,1750000,4
General Fund,PRCR - Recreation-School Based,Non-Program Revenues Total,,,,,1550000,1550000,1550000,1836300,1750000,3
General Fund,PRCR - Recreation-School Based Total,,,,,,1550000,1550000,1550000,1836300,1750000,2
General Fund,Public Affairs-RTN,Non-Program Revenues,Cablevision Franchise,,,,5250000,5250000,4900000,4750000,4685612,4
General Fund,Public Affairs-RTN,Non-Program Revenues Total,,,,,5250000,5250000,4900000,4750000,4685612,3
General Fund,Public Affairs-RTN Total,,,,,,5250000,5250000,4900000,4750000,4685612,2
General Fund,Public Works,Non-Program Revenues,Const Plan Review Fee,,,,48000,52000,52000,60500,55000,4
General Fund,Public Works,Non-Program Revenues,Hwy Traffic Maint Refunds,,,,900000,1150000,1150000,1100000,1100000,4
General Fund,Public Works,Non-Program Revenues,Inspection Fees-Engineer,,,,40000,44000,44000,65000,52000,4
General Fund,Public Works,Non-Program Revenues,Pavement Cut Permit Fees,,,,110000,100000,100000,100000,55000,4
General Fund,Public Works,Non-Program Revenues,Red Light Camera Revenue,,,,894625,893516,892899,780674,739875,4
General Fund,Public Works,Non-Program Revenues,Right Of Way Fee,,,,75000,75000,75000,88000,775000,4
General Fund,Public Works,Non-Program Revenues Total,,,,,2067625,2314516,2313899,2194174,2776875,3
General Fund,Public Works Total,,,,,,2067625,2314516,2313899,2194174,2776875,2
General Fund,Purchasing,Non-Program Revenues,Misc Revenues,,,,,,,,125000,4
General Fund,Purchasing,Non-Program Revenues Total,,,,,,,,,125000,3
General Fund,Purchasing Total,,,,,,,,,,125000,2
General Fund,Solid Waste Admin,Blank Program Code,Cbd Garbage Bag Sales,,,,600,,,,,4
General Fund,Solid Waste Admin,Blank Program Code,Curbside Recycle Fees,,,,714520,,,,,4
General Fund,Solid Waste Admin,Blank Program Code,Drop Off Contract Recycle Rev,,,,33480,,,,,4
General Fund,Solid Waste Admin,Blank Program Code,Landfill Equip Resale,,,,987274,,,,,4
General Fund,Solid Waste Admin,Blank Program Code,Residential Solid Waste Fees,,,,15535137,,,,,4
General Fund,Solid Waste Admin,Blank Program Code,Solid Waste Disposal Tax Refun,,,,275000,,,,,4
General Fund,Solid Waste Admin,Blank Program Code,Special Loads & Chipper,,,,35000,,,,,4
General Fund,Solid Waste Admin,Blank Program Code,Sws - Additional Container Sal,,,,17000,,,,,4
General Fund,Solid Waste Admin,Blank Program Code,Sws Penalties (Wcpss 90%),,,,300,,,,,4
General Fund,Solid Waste Admin,Blank Program Code,Yardwaste Sales,,,,175000,,,,,4
General Fund,Solid Waste Admin,Blank Program Code,Yardwaste Tip Fees,,,,250000,,,,,4
General Fund,Solid Waste Admin,Blank Program Code Total,,,,,18023311,,,,,3
General Fund,Solid Waste Admin Total,,,,,,18023311,,,,,2
General Fund Total,,,,,,,386783795,383571703,404773075,416705398,434926973,1
Grants Fund,Community Svcs,Grant Year 2015/2016,Federal Grants,,,,,,,,250538,4
Grants Fund,Community Svcs,Grant Year 2015/2016,Fr 100 For Grants/Match,,,,,,,,65744,4
Grants Fund,Community Svcs,Grant Year 2015/2016,In Kind Contribution-City,,,,,,,,70958,4
Grants Fund,Community Svcs,Grant Year 2015/2016 Total,,,,,,,,,387240,3
Grants Fund,Community Svcs Total,,,,,,,,,,387240,2
Grants Fund,Police Administrative Services,Grant Year 2015/2016,Federal Grants,,,,,,,,20000,4
Grants Fund,Police Administrative Services,Grant Year 2015/2016,Fr 100 For Grants/Match,,,,,,,,4124,4
Grants Fund,Police Administrative Services,Grant Year 2015/2016 Total,,,,,,,,,24124,3
Grants Fund,Police Administrative Services Total,,,,,,,,,,24124,2
Grants Fund,PRCR - Business Process Mgmt,Grant Year 2015/2016,County Grants,,,,,,,,93350,4
Grants Fund,PRCR - Business Process Mgmt,Grant Year 2015/2016,Fr 100 For Grants/Match,,,,,,,,28005,4
Grants Fund,PRCR - Business Process Mgmt,Grant Year 2015/2016 Total,,,,,,,,,121355,3
Grants Fund,PRCR - Business Process Mgmt Total,,,,,,,,,,121355,2
Grants Fund,Public Works-Transportaion,Grant Year 2015/2016,Federal Grants,,,,,,,,705778,4
Grants Fund,Public Works-Transportaion,Grant Year 2015/2016,Fr 410 Transit Oper,,,,,,,,233819,4
Grants Fund,Public Works-Transportaion,Grant Year 2015/2016,State Match,,,,,,,,145679,4
Grants Fund,Public Works-Transportaion,Grant Year 2015/2016 Total,,,,,,,,,1085276,3
Grants Fund,Public Works-Transportaion Total,,,,,,,,,,1085276,2
Grants Fund Total,,,,,,,,,,,1617995,1
Home Grant,Community Development,Grant Year 11/12,Federal Grants,,,,1255728,,,,,4
Home Grant,Community Development,Grant Year 11/12,Home Interest Inc,,,,112005,,,,,4
Home Grant,Community Development,Grant Year 11/12,Home Principal Repay,,,,175631,,,,,4
Home Grant,Community Development,Grant Year 11/12,Rental Income,,,,40901,,,,,4
Home Grant,Community Development,Grant Year 11/12 Total,,,,,1584265,,,,,3
Home Grant,Community Development,Grant Year 2012/2013,Federal Grants,,,,,958873,,,,4
Home Grant,Community Development,Grant Year 2012/2013,Home Interest Inc,,,,,126180,,,,4
Home Grant,Community Development,Grant Year 2012/2013,Home Principal Repay,,,,,154220,,,,4
Home Grant,Community Development,Grant Year 2012/2013,Rental Income,,,,,45446,,,,4
Home Grant,Community Development,Grant Year 2012/2013 Total,,,,,,1284719,,,,3
Home Grant,Community Development,Grant Year 2013/2014,Federal Grants,,,,,,996043,,,4
Home Grant,Community Development,Grant Year 2013/2014,Home Interest Inc,,,,,,175969,,,4
Home Grant,Community Development,Grant Year 2013/2014,Home Principal Repay,,,,,,263953,,,4
Home Grant,Community Development,Grant Year 2013/2014,Rental Income,,,,,,38678,,,4
Home Grant,Community Development,Grant Year 2013/2014 Total,,,,,,,1474643,,,3
Home Grant,Community Development,Grant Year 2014/2015,Fr 735 Housing Oper,,,,,,,241463,,4
Home Grant,Community Development,Grant Year 2014/2015 Total,,,,,,,,241463,,3
Home Grant,Community Development,Non-Program Revenues,Federal Grants,,,,,,,1073168,1015443,4
Home Grant,Community Development,Non-Program Revenues,Fr 735 Housing Oper,,,,,,,,216721,4
Home Grant,Community Development,Non-Program Revenues,Home Interest Inc,,,,,,,186000,173200,4
Home Grant,Community Development,Non-Program Revenues,Home Principal Repay,,,,,,,186000,259800,4
Home Grant,Community Development,Non-Program Revenues,Rental Income,,,,,,,38678,38678,4
Home Grant,Community Development,Non-Program Revenues Total,,,,,,,,1483846,1703842,3
Home Grant,Community Development Total,,,,,,1584265,1284719,1474643,1725309,1703842,2
Home Grant Total,,,,,,,1584265,1284719,1474643,1725309,1703842,1
Housing Development-Operating,Community Development,Blank Program Code,Fr 100 General Fd,,,,1000654,,,,,4
Housing Development-Operating,Community Development,Blank Program Code Total,,,,,1000654,,,,,3
Housing Development-Operating,Community Development,Housing Programs,City Housing Dte Interest Inc,,,,,,,2600,,4
Housing Development-Operating,Community Development,Housing Programs,City Housing Dte Prin Repay,,,,,,,3900,,4
Housing Development-Operating,Community Development,Housing Programs,City Housing Fd Interest Inc,,,,,,,20000,46240,4
Housing Development-Operating,Community Development,Housing Programs,City Housing Fd Prin Repay,,,,,,,15000,37627,4
Housing Development-Operating,Community Development,Housing Programs,Rental Income,,,,,,,306000,280400,4
Housing Development-Operating,Community Development,Housing Programs Total,,,,,,,,347500,364267,3
Housing Development-Operating,Community Development,Non-Program Revenues,Fr 100 General Fd,,,,,1083483,1225231,1197533,979363,4
Housing Development-Operating,Community Development,Non-Program Revenues Total,,,,,,1083483,1225231,1197533,979363,3
Housing Development-Operating,Community Development Total,,,,,,1000654,1083483,1225231,1545033,1343630,2
Housing Development-Operating Total,,,,,,,1000654,1083483,1225231,1545033,1343630,1
Housing Development-Projects,Community Development,Blank Program Code,City Housing Dte Interest Inc,,,,2477,,,,,4
Housing Development-Projects,Community Development,Blank Program Code,City Housing Dte Prin Repay,,,,2721,,,,,4
Housing Development-Projects,Community Development,Blank Program Code,City Housing Fd Interest Inc,,,,31565,,,,,4
Housing Development-Projects,Community Development,Blank Program Code,City Housing Fd Prin Repay,,,,21935,,,,,4
Housing Development-Projects,Community Development,Blank Program Code,Fr 100 General Fd,,,,346706,,,,,4
Housing Development-Projects,Community Development,Blank Program Code,Interest On Investments,,,,23554,,,,,4
Housing Development-Projects,Community Development,Blank Program Code,Rental Income,,,,254340,,,,,4
Housing Development-Projects,Community Development,Blank Program Code Total,,,,,683298,,,,,3
Housing Development-Projects,Community Development,Non-Program Revenues,City Housing Dte Interest Inc,,,,,2900,2800,,,4
Housing Development-Projects,Community Development,Non-Program Revenues,City Housing Dte Prin Repay,,,,,3600,3700,,,4
Housing Development-Projects,Community Development,Non-Program Revenues,City Housing Fd Interest Inc,,,,,32850,20534,,,4
Housing Development-Projects,Community Development,Non-Program Revenues,City Housing Fd Prin Repay,,,,,21900,13689,,,4
Housing Development-Projects,Community Development,Non-Program Revenues,Fr 100 General Fd,,,,,247945,,,,4
Housing Development-Projects,Community Development,Non-Program Revenues,Interest On Investments,,,,,23554,8850,,,4
Housing Development-Projects,Community Development,Non-Program Revenues,Rental Income,,,,,282600,287000,,,4
Housing Development-Projects,Community Development,Non-Program Revenues Total,,,,,,615349,336573,,,3
Housing Development-Projects,Community Development Total,,,,,,683298,615349,336573,,,2
Housing Development-Projects,Non-Departmental,Non-Program Revenues,Approp From Prior Year,,,,,,,500000,,4
Housing Development-Projects,Non-Departmental,Non-Program Revenues Total,,,,,,,,500000,,3
Housing Development-Projects,Non-Departmental Total,,,,,,,,,500000,,2
Housing Development-Projects Total,,,,,,,683298,615349,336573,500000,,1
Nchfa/Job Training Grant,Community Development,Grant Year 11/12,State Grants,,,,67000,,,,,4
Nchfa/Job Training Grant,Community Development,Grant Year 11/12 Total,,,,,67000,,,,,3
Nchfa/Job Training Grant,Community Development Total,,,,,,67000,,,,,2
Nchfa/Job Training Grant Total,,,,,,,67000,,,,,1
Parking Debt Service Fund,Non-Departmental,Blank Program Code,Fr 442 Parking Operations,,,,5709202,,,,,4
Parking Debt Service Fund,Non-Departmental,Blank Program Code,Interest On Investments,,,,23400,,,,,4
Parking Debt Service Fund,Non-Departmental,Blank Program Code Total,,,,,5732602,,,,,3
Parking Debt Service Fund,Non-Departmental,Non-Program Revenues,Approp From Prior Year,,,,2033943,,,,,4
Parking Debt Service Fund,Non-Departmental,Non-Program Revenues,Fr 442 Parking Operations,,,,,7900000,7300000,7700000,7000000,4
Parking Debt Service Fund,Non-Departmental,Non-Program Revenues,Interest On Investments,,,,,25000,25000,25000,25000,4
Parking Debt Service Fund,Non-Departmental,Non-Program Revenues Total,,,,,2033943,7925000,7325000,7725000,7025000,3
Parking Debt Service Fund,Non-Departmental Total,,,,,,7766545,7925000,7325000,7725000,7025000,2
Parking Debt Service Fund,Treasury Office,Non-Program Revenues,Fr 446 Parking Facilities Fund,,,,,,550000,,,4
Parking Debt Service Fund,Treasury Office,Non-Program Revenues Total,,,,,,,550000,,,3
Parking Debt Service Fund,Treasury Office Total,,,,,,,,550000,,,2
Parking Debt Service Fund Total,,,,,,,7766545,7925000,7875000,7725000,7025000,1
Parking Facilities Fund-Operat,Non-Departmental,Blank Program Code,Interest On Investments,,,,26146,,,,,4
Parking Facilities Fund-Operat,Non-Departmental,Blank Program Code Total,,,,,26146,,,,,3
Parking Facilities Fund-Operat,Non-Departmental,Non-Program Revenues,Interest On Investments,,,,,25000,5700,12000,,4
Parking Facilities Fund-Operat,Non-Departmental,Non-Program Revenues Total,,,,,,25000,5700,12000,,3
Parking Facilities Fund-Operat,Non-Departmental Total,,,,,,26146,25000,5700,12000,,2
Parking Facilities Fund-Operat,Parking Operations,Blank Program Code,Parking Meter Revenue,,,,1100000,,,,,4
Parking Facilities Fund-Operat,Parking Operations,Blank Program Code,Parking Violation Penalties,,,,2037273,,,,,4
Parking Facilities Fund-Operat,Parking Operations,Blank Program Code,Parking-Residential Permit Fee,,,,20000,,,,,4
Parking Facilities Fund-Operat,Parking Operations,Blank Program Code Total,,,,,3157273,,,,,3
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Approp From Prior Year,,,,751379,2621969,3021569,3414574,1704072,4
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Blount Deck Parking Agreement,,,,,86238,,,,4
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Fr 100 General Fd,,,,1475501,2031145,1000000,500000,500000,4
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Fr 230 Self Insurance,,,,,,,,17440,4
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Ice Rink Reimbursement,,,,,,,,12377,4
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Interest On Investments,,,,,,,,23000,4
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Misc Revenues,,,,125000,4913,5000,4400,4399,4
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Palladium Parking Agreement,,,,39571,40710,43000,43000,43000,4
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Parking Fees-Dillon Lot Monthl,,,,6995001,6570496,7591199,8215265,11567731,4
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Parking Fees-LT Permit Fee,,,,,4081,9000,21700,70000,4
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Parking Meter Revenue,,,,,1112525,1287200,1303047,1410639,4
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Parking Violation Penalties,,,,,2209333,2130900,2397000,2405157,4
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Parking-Residential Permit Fee,,,,,18691,15000,15700,15500,4
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Rental Income,,,,13177,13540,13900,14237,,4
