Fund,Department,Program / Account Type,Account Description,Current,Amount,Revenue
General Fund,Human Service Agencies,Uniting NC,Other Expense,-10000,,FALSE
General Fund,Human Service Agencies,Urban Ministry Ctr,Other Expense,0,30000,FALSE
General Fund,Human Service Agencies,"Wake Enterprises, Inc.",Other Expense,0,8000,FALSE
General Fund,Human Service Agencies,Wake Health Services Inc,Other Expense,-20000,,FALSE
General Fund,Human Service Agencies,Wake Interfaith Hosp Network,Other Expense,0,15000,FALSE
General Fund,Human Service Agencies,Womens Center,Other Expense,0,25000,FALSE
General Fund,Information Technology Admin,Adm-Info Technology,Employee Benefits,832.7,14352.32,FALSE
General Fund,Information Technology Admin,Adm-Info Technology,Salaries and Wages,5543,40708,FALSE
General Fund,Information Technology Admin,Communications-IT,Direct Expenses,75000,81248,FALSE
General Fund,Information Technology Admin,Communications-IT,Employee Benefits,-184.78,22812.49,FALSE
General Fund,Information Technology Admin,Communications-IT,Salaries and Wages,239.53,103388.77,FALSE
General Fund,Information Technology Admin,Community Tech Outreach-IT,Direct Expenses,-18965,243700,FALSE
General Fund,Information Technology Admin,Community Tech Outreach-IT,Employee Benefits,-8030.92,32538.67,FALSE
General Fund,Information Technology Admin,Community Tech Outreach-IT,Other Expense,19999,20000,FALSE
General Fund,Information Technology Admin,Community Tech Outreach-IT,Salaries and Wages,-84125.49,137312.59,FALSE
General Fund,Information Technology Admin,Executive Management-IT,Direct Expenses,0,9620,FALSE
General Fund,Information Technology Admin,Executive Management-IT,Employee Benefits,56069.43,140824.1,FALSE
General Fund,Information Technology Admin,Executive Management-IT,Miscellaneous,75,250,FALSE
General Fund,Information Technology Admin,Executive Management-IT,Salaries and Wages,143443,492182.48,FALSE
General Fund,Information Technology Admin,Security-IT,Employee Benefits,26158.8,26158.8,FALSE
General Fund,Information Technology Admin,Security-IT,Salaries and Wages,106839.32,106839.32,FALSE
General Fund,Inspections,Adm-Comm Dev Svcs,Capital Equipment,-600,,FALSE
General Fund,Inspections,Adm-Comm Dev Svcs,Direct Expenses,0,63002,FALSE
General Fund,Inspections,Adm-Comm Dev Svcs,Employee Benefits,-2091.19,49315.76,FALSE
General Fund,Inspections,Adm-Comm Dev Svcs,Miscellaneous,-4000,5500,FALSE
General Fund,Inspections,Adm-Comm Dev Svcs,Other Expense,-6571,92139,FALSE
General Fund,Inspections,Adm-Comm Dev Svcs,Salaries and Wages,-56868.67,154773.64,FALSE
General Fund,Inspections,Construction-Insp,Capital Equipment,6500,12500,FALSE
General Fund,Inspections,Construction-Insp,Direct Expenses,105568.92,535294.92,FALSE
General Fund,Inspections,Construction-Insp,Employee Benefits,219917.19,1142620.34,FALSE
General Fund,Inspections,Construction-Insp,Miscellaneous,21160,38910,FALSE
General Fund,Inspections,Construction-Insp,Salaries and Wages,506857.71,3868145.47,FALSE
General Fund,Internal Audit Office,Adm-General Govt,Direct Expenses,0,107807,FALSE
General Fund,Internal Audit Office,Adm-General Govt,Employee Benefits,1415.74,86068.14,FALSE
General Fund,Internal Audit Office,Adm-General Govt,Miscellaneous,0,13823,FALSE
General Fund,Internal Audit Office,Adm-General Govt,Salaries and Wages,5994.02,316615.39,FALSE
General Fund,IT Application Support,Applications Port & Support-IT,Direct Expenses,-23825,,FALSE
General Fund,IT Application Support,Customer Care & Billing-IT,Direct Expenses,-30896,25000,FALSE
General Fund,IT Application Support,Customer Care & Billing-IT,Employee Benefits,-4093.02,74308.95,FALSE
General Fund,IT Application Support,Customer Care & Billing-IT,Salaries and Wages,16019.86,303311.23,FALSE
General Fund,IT Application Support,Enterprise Content Mgmt-IT,Direct Expenses,0,54000,FALSE
General Fund,IT Application Support,GIS-IT,Direct Expenses,175776,1017076,FALSE
General Fund,IT Application Support,GIS-IT,Employee Benefits,25287.25,157184.52,FALSE
General Fund,IT Application Support,GIS-IT,Salaries and Wages,55115.95,455651.08,FALSE
General Fund,IT Application Support,Land Mgmt Support-IT,Direct Expenses,-19000,136000,FALSE
General Fund,IT Application Support,Land Mgmt Support-IT,Employee Benefits,5581.03,72719.27,FALSE
General Fund,IT Application Support,Land Mgmt Support-IT,Salaries and Wages,6455.98,255877.64,FALSE
General Fund,IT Application Support,Peoplesoft Support-IT,Direct Expenses,-12105,501900,FALSE
General Fund,IT Application Support,Peoplesoft Support-IT,Employee Benefits,2335.12,132835.35,FALSE
General Fund,IT Application Support,Peoplesoft Support-IT,Salaries and Wages,10976.55,511776.53,FALSE
General Fund,IT Application Support,Quality Assurance-IT,Direct Expenses,0,50500,FALSE
General Fund,IT Application Support,Quality Assurance-IT,Employee Benefits,8260.75,63323.17,FALSE
General Fund,IT Application Support,Quality Assurance-IT,Salaries and Wages,55279.48,274532.45,FALSE
General Fund,IT Application Support,WEB-IT,Direct Expenses,73320,160820,FALSE
General Fund,IT Application Support,WEB-IT,Employee Benefits,-13103.96,86334.65,FALSE
General Fund,IT Application Support,WEB-IT,Salaries and Wages,-54077.48,303403.84,FALSE
General Fund,IT Application Support,Work Order Mgmt-IT,Direct Expenses,-48993,115000,FALSE
General Fund,IT Application Support,Work Order Mgmt-IT,Employee Benefits,48498.59,48498.59,FALSE
General Fund,IT Application Support,Work Order Mgmt-IT,Salaries and Wages,130815.35,130815.35,FALSE
General Fund,IT Customer Relationship Mgt,Business Reqs & Analysis-IT,Direct Expenses,-42399,,FALSE
General Fund,IT Customer Relationship Mgt,Business Reqs & Analysis-IT,Employee Benefits,14906.59,103794.74,FALSE
General Fund,IT Customer Relationship Mgt,Business Reqs & Analysis-IT,Salaries and Wages,28155.26,323447.29,FALSE
General Fund,IT Customer Relationship Mgt,Collaboration Solutions-IT,Direct Expenses,-87681,37500,FALSE
General Fund,IT Customer Relationship Mgt,Desktop Solutions-IT,Direct Expenses,-220587,578480,FALSE
General Fund,IT Customer Relationship Mgt,Desktop Solutions-IT,Employee Benefits,1592.25,33833.14,FALSE
General Fund,IT Customer Relationship Mgt,Desktop Solutions-IT,Miscellaneous,0,4200,FALSE
General Fund,IT Customer Relationship Mgt,Desktop Solutions-IT,Salaries and Wages,5689.59,113419.49,FALSE
General Fund,IT Customer Relationship Mgt,End User Education-IT,Direct Expenses,-1699,26689,FALSE
General Fund,IT Customer Relationship Mgt,Mobile Solutions-IT,Direct Expenses,-124164,40000,FALSE
General Fund,IT Customer Relationship Mgt,Multifunctional Devices-IT,Direct Expenses,0,13000,FALSE
General Fund,IT Customer Relationship Mgt,Service Portfolio Mgmt-IT,Direct Expenses,-20850,49500,FALSE
General Fund,IT Customer Relationship Mgt,Service Portfolio Mgmt-IT,Employee Benefits,3038.09,66177.67,FALSE
General Fund,IT Customer Relationship Mgt,Service Portfolio Mgmt-IT,Salaries and Wages,5713.98,217408.6,FALSE
General Fund,IT Enterprise Infrastructure M,Database Admin-IT,Direct Expenses,-157389.25,257853.75,FALSE
General Fund,IT Enterprise Infrastructure M,Database Admin-IT,Employee Benefits,30.2,48934.82,FALSE
General Fund,IT Enterprise Infrastructure M,Database Admin-IT,Salaries and Wages,13956.01,178518.56,FALSE
General Fund,IT Enterprise Infrastructure M,DR & Inf Perf Mgmt-IT,Direct Expenses,-17434,85050,FALSE
General Fund,IT Enterprise Infrastructure M,DR & Inf Perf Mgmt-IT,Employee Benefits,-25944.17,28566.06,FALSE
General Fund,IT Enterprise Infrastructure M,DR & Inf Perf Mgmt-IT,Salaries and Wages,-92803.79,109658.55,FALSE
General Fund,IT Enterprise Infrastructure M,Network Engineering-IT,Direct Expenses,253434,1855029,FALSE
General Fund,IT Enterprise Infrastructure M,Network Engineering-IT,Employee Benefits,23294.03,111747.21,FALSE
General Fund,IT Enterprise Infrastructure M,Network Engineering-IT,Salaries and Wages,80449.7,394167.28,FALSE
General Fund,IT Enterprise Infrastructure M,Operations Center-IT,Direct Expenses,-2500,132280,FALSE
General Fund,IT Enterprise Infrastructure M,Operations Center-IT,Employee Benefits,1785.95,146728.07,FALSE
General Fund,IT Enterprise Infrastructure M,Operations Center-IT,Salaries and Wages,-1975.76,469505.15,FALSE
General Fund,IT Enterprise Infrastructure M,Security-IT,Direct Expenses,-166894,96750,FALSE
General Fund,IT Enterprise Infrastructure M,Security-IT,Employee Benefits,-16057.14,,FALSE
General Fund,IT Enterprise Infrastructure M,Security-IT,Salaries and Wages,-50490,,FALSE
General Fund,IT Enterprise Infrastructure M,Systems Admin-IT,Direct Expenses,-386418.97,2129719.03,FALSE
General Fund,IT Enterprise Infrastructure M,Systems Admin-IT,Employee Benefits,-16695.07,106568.08,FALSE
General Fund,IT Enterprise Infrastructure M,Systems Admin-IT,Salaries and Wages,-41769.02,352596.12,FALSE
General Fund,IT Enterprise Infrastructure M,Work Order Mgmt-IT,Employee Benefits,-27976.58,,FALSE
General Fund,IT Enterprise Infrastructure M,Work Order Mgmt-IT,Salaries and Wages,-69632.4,,FALSE
General Fund,IT Strategy & Planning,Fin & HR Management-IT,Direct Expenses,965592,1421666,FALSE
General Fund,IT Strategy & Planning,Fin & HR Management-IT,Employee Benefits,-5876.7,55516.17,FALSE
General Fund,IT Strategy & Planning,Fin & HR Management-IT,Miscellaneous,11228,323478,FALSE
General Fund,IT Strategy & Planning,Fin & HR Management-IT,Salaries and Wages,-17020.6,166353.45,FALSE
General Fund,IT Strategy & Planning,Project Mgmt Office-IT,Direct Expenses,-169620,319500,FALSE
General Fund,IT Strategy & Planning,Project Mgmt Office-IT,Employee Benefits,11776.14,164455.41,FALSE
General Fund,IT Strategy & Planning,Project Mgmt Office-IT,Salaries and Wages,13249.06,657143.45,FALSE
General Fund,IT Strategy & Planning,Transcription Admin-IT,Direct Expenses,0,4051,FALSE
General Fund,IT Strategy & Planning,Transcription Admin-IT,Employee Benefits,297.45,12730.3,FALSE
General Fund,IT Strategy & Planning,Transcription Admin-IT,Salaries and Wages,2359.91,47363.54,FALSE
General Fund,Neighborhood Code Enforcement,Housing & Neighborhd Preserva,Capital Equipment,-1253,2347,FALSE
General Fund,Neighborhood Code Enforcement,Housing & Neighborhd Preserva,Direct Expenses,-11927,366678,FALSE
General Fund,Neighborhood Code Enforcement,Housing & Neighborhd Preserva,Employee Benefits,32917.24,541065.73,FALSE
General Fund,Neighborhood Code Enforcement,Housing & Neighborhd Preserva,Miscellaneous,27221,67221,FALSE
General Fund,Neighborhood Code Enforcement,Housing & Neighborhd Preserva,Salaries and Wages,57401.87,1676635.83,FALSE
General Fund,Office of Economic Development,Economic Dev,Direct Expenses,5000,33282,FALSE
General Fund,Office of Economic Development,Economic Dev,Employee Benefits,4089.57,115367.64,FALSE
General Fund,Office of Economic Development,Economic Dev,Miscellaneous,-2655,29210,FALSE
General Fund,Office of Economic Development,Economic Dev,Salaries and Wages,6667.11,453480.2,FALSE
General Fund,Office of Emerg Mgmt & Spec Ev,Adm-General Govt,Capital Equipment,3500,3500,FALSE
General Fund,Office of Emerg Mgmt & Spec Ev,Adm-General Govt,Direct Expenses,2730,2730,FALSE
General Fund,Office of Emerg Mgmt & Spec Ev,Emergency Management,Direct Expenses,3500,38167,FALSE
General Fund,Office of Emerg Mgmt & Spec Ev,Emergency Management,Employee Benefits,15388.25,60509.36,FALSE
General Fund,Office of Emerg Mgmt & Spec Ev,Emergency Management,Miscellaneous,2600,6000,FALSE
General Fund,Office of Emerg Mgmt & Spec Ev,Emergency Management,Salaries and Wages,49551.57,185818.76,FALSE
General Fund,Office of Sustainability,AdminSvcs-Sustainability,Direct Expenses,0,92083,FALSE
General Fund,Office of Sustainability,AdminSvcs-Sustainability,Employee Benefits,-8166.03,93609.54,FALSE
General Fund,Office of Sustainability,AdminSvcs-Sustainability,Miscellaneous,0,16800,FALSE
General Fund,Office of Sustainability,AdminSvcs-Sustainability,Salaries and Wages,-54275.09,393488.83,FALSE
General Fund,Office of the Fire Marshall,Fire Program,Direct Expenses,39684.28,318883.28,FALSE
General Fund,Office of the Fire Marshall,Fire Program,Employee Benefits,58039.24,721718.87,FALSE
General Fund,Office of the Fire Marshall,Fire Program,Miscellaneous,1835,49272,FALSE
General Fund,Office of the Fire Marshall,Fire Program,Salaries and Wages,173760.47,2482124.52,FALSE
General Fund,Other Agencies w COR Support,Dhic,Other Expense,108000,108000,FALSE
General Fund,Other Agencies w COR Support,Homeless Support Circles,Other Expense,51000,51000,FALSE
General Fund,Other Agencies w COR Support,Hospice,Other Expense,62500,62500,FALSE
General Fund,Other Agencies w COR Support,Non Program Expenditures,Other Expense,197500,197500,FALSE
General Fund,Other Agencies w COR Support,"Passage Home Cdc, Inc.",Other Expense,90000,90000,FALSE
General Fund,Payroll,Adm-Finance,Direct Expenses,-4000,18000,FALSE
General Fund,Payroll,Adm-Finance,Employee Benefits,9599.42,99740.69,FALSE
General Fund,Payroll,Adm-Finance,Miscellaneous,0,6000,FALSE
General Fund,Payroll,Adm-Finance,Salaries and Wages,9308.46,373287.63,FALSE
General Fund,Planning,Adm-Comm Dev Svcs,Direct Expenses,82917,213773,FALSE
General Fund,Planning,Adm-Comm Dev Svcs,Employee Benefits,-13073.17,112518.06,FALSE
General Fund,Planning,Adm-Comm Dev Svcs,Miscellaneous,-23000,36150,FALSE
General Fund,Planning,Adm-Comm Dev Svcs,Other Expense,-3000,,FALSE
General Fund,Planning,Adm-Comm Dev Svcs,Salaries and Wages,-78907.82,434743.39,FALSE
General Fund,Planning,Admin Svcs-Real Estate,Capital Project Expense,25000,25000,FALSE
General Fund,Planning,Admin Svcs-Real Estate,Direct Expenses,8000,21022,FALSE
General Fund,Planning,Admin Svcs-Real Estate,Employee Benefits,147543.82,145505.2,FALSE
General Fund,Planning,Admin Svcs-Real Estate,Miscellaneous,800,5800,FALSE
General Fund,Planning,Admin Svcs-Real Estate,Salaries and Wages,484388.26,492786.26,FALSE
General Fund,Planning,Appearance Comm,Direct Expenses,0,10000,FALSE
General Fund,Planning,Board of Adjustment,Direct Expenses,1000,3000,FALSE
General Fund,Planning,Board of Adjustment,Miscellaneous,-2000,15000,FALSE
General Fund,Planning,Business Solutions,Direct Expenses,-125000,,FALSE
General Fund,Planning,Business Solutions,Employee Benefits,-114231.11,870.95,FALSE
General Fund,Planning,Business Solutions,Salaries and Wages,-388000.55,11385,FALSE
General Fund,Planning,Communications,Capital Equipment,-400,,FALSE
General Fund,Planning,Communications,Direct Expenses,8782,20400,FALSE
General Fund,Planning,Communications,Employee Benefits,15767.1,108429.59,FALSE
General Fund,Planning,Communications,Miscellaneous,735,3750,FALSE
General Fund,Planning,Communications,Salaries and Wages,4411.5,310726.42,FALSE
General Fund,Planning,Long Range Planning,Direct Expenses,4221,20360,FALSE
General Fund,Planning,Long Range Planning,Employee Benefits,24069.31,263802.11,FALSE
General Fund,Planning,Long Range Planning,Miscellaneous,-1885,29620,FALSE
General Fund,Planning,Long Range Planning,Salaries and Wages,50572.42,810577.34,FALSE
General Fund,Planning,Planning Commission,Direct Expenses,-1000,4500,FALSE
General Fund,Planning,Planning Commission,Miscellaneous,500,1700,FALSE
General Fund,Planning,Raleigh Historic Dev Comm,Direct Expenses,11090,48190,FALSE
General Fund,Planning,Raleigh Historic Dev Comm,Miscellaneous,-40,9210,FALSE
General Fund,Planning,Transportation Planning,Direct Expenses,-18250.6,15610.4,FALSE
General Fund,Planning,Transportation Planning,Employee Benefits,11277.57,143169.5,FALSE
General Fund,Planning,Transportation Planning,Interfund Transfers In/Out,-7437,223994,FALSE
General Fund,Planning,Transportation Planning,Miscellaneous,1300,11200,FALSE
General Fund,Planning,Transportation Planning,Salaries and Wages,42575.47,534766.31,FALSE
General Fund,Planning,Urban Design Center,Direct Expenses,-7982.64,102517.36,FALSE
General Fund,Planning,Urban Design Center,Employee Benefits,7349.21,134089.23,FALSE
General Fund,Planning,Urban Design Center,Miscellaneous,406,13925,FALSE
General Fund,Planning,Urban Design Center,Salaries and Wages,18395.67,491669.1,FALSE
General Fund,Planning,Zoning Enforcement,Direct Expenses,11629,72368,FALSE
General Fund,Planning,Zoning Enforcement,Employee Benefits,1329.18,163556.85,FALSE
General Fund,Planning,Zoning Enforcement,Miscellaneous,6100,8720,FALSE
General Fund,Planning,Zoning Enforcement,Salaries and Wages,25328.26,630583.38,FALSE
General Fund,Police Administrative Services,Admn-Ps,Capital Equipment,-972050,1158950,FALSE
General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,-303135,6980269.5,FALSE
General Fund,Police Administrative Services,Admn-Ps,Employee Benefits,70127.83,4256878.16,FALSE
General Fund,Police Administrative Services,Admn-Ps,Interfund Transfers In/Out,4124,23722,FALSE
General Fund,Police Administrative Services,Admn-Ps,Miscellaneous,-125000,165952,FALSE
General Fund,Police Administrative Services,Admn-Ps,Other Expense,127792,2370463,FALSE
General Fund,Police Administrative Services,Admn-Ps,Salaries and Wages,130561.21,3942615.91,FALSE
General Fund,Police Chiefs Office,Office Of The Chief,Capital Equipment,0,3000,FALSE
General Fund,Police Chiefs Office,Office Of The Chief,Direct Expenses,0,93250,FALSE
General Fund,Police Chiefs Office,Office Of The Chief,Employee Benefits,8509.72,591932.02,FALSE
General Fund,Police Chiefs Office,Office Of The Chief,Miscellaneous,0,40000,FALSE
General Fund,Police Chiefs Office,Office Of The Chief,Salaries and Wages,37944.59,2044214.6,FALSE
General Fund,Police Chiefs Office,Other Agencies,Direct Expenses,0,2100,FALSE
General Fund,Police Detective Division,General Investigations,Capital Equipment,-15000,2930,FALSE
General Fund,Police Detective Division,General Investigations,Direct Expenses,16500,1019880,FALSE
General Fund,Police Detective Division,General Investigations,Employee Benefits,91018.23,4393376.67,FALSE
General Fund,Police Detective Division,General Investigations,Miscellaneous,0,53500,FALSE
General Fund,Police Detective Division,General Investigations,Salaries and Wages,94352.23,13634740.49,FALSE
General Fund,Police Detective Division,School Patrol Expense,Direct Expenses,0,4000,FALSE
General Fund,Police Detective Division,Youth & Family Services,Direct Expenses,45000,45000,FALSE
General Fund,Police Field Operations,Gen Enforcement,Capital Equipment,-13735,76265,FALSE
General Fund,Police Field Operations,Gen Enforcement,Direct Expenses,178030,3929987,FALSE
General Fund,Police Field Operations,Gen Enforcement,Employee Benefits,355170.79,9838742.49,FALSE
General Fund,Police Field Operations,Gen Enforcement,Miscellaneous,-1500,26500,FALSE
General Fund,Police Field Operations,Gen Enforcement,Salaries and Wages,531431,29589901.93,FALSE
General Fund,Police Special Operations,Support Enforcement,Capital Equipment,0,26035,FALSE
General Fund,Police Special Operations,Support Enforcement,Direct Expenses,9440.2,1245465,FALSE
General Fund,Police Special Operations,Support Enforcement,Employee Benefits,49972.02,1738617.81,FALSE
General Fund,Police Special Operations,Support Enforcement,Miscellaneous,0,33500,FALSE
General Fund,Police Special Operations,Support Enforcement,Other Expense,0,775000,FALSE
General Fund,Police Special Operations,Support Enforcement,Salaries and Wages,31450.2,5479169.72,FALSE
General Fund,PRCR - Business Process Mgmt,Adm-Leisure Svcs,Direct Expenses,-44604,454342,FALSE
General Fund,PRCR - Business Process Mgmt,Adm-Leisure Svcs,Employee Benefits,27532.31,221754.47,FALSE
General Fund,PRCR - Business Process Mgmt,Adm-Leisure Svcs,Miscellaneous,-450,47250,FALSE
General Fund,PRCR - Business Process Mgmt,Adm-Leisure Svcs,Other Expense,14651,896724,FALSE
General Fund,PRCR - Business Process Mgmt,Adm-Leisure Svcs,Salaries and Wages,51399.92,759819.96,FALSE
General Fund,PRCR - Business Process Mgmt,Parks & Rec Grnway Adv Comm,Other Expense,0,5800,FALSE
General Fund,PRCR - Business Process Mgmt,Recreation Business Support,Employee Benefits,-49738.04,,FALSE
General Fund,PRCR - Business Process Mgmt,Recreation Business Support,Salaries and Wages,-91637.9,,FALSE
General Fund,PRCR - F&O - City Fac Maint,218 W. Cabarrus Street,Direct Expenses,-27269.62,127166.33,FALSE
General Fund,PRCR - F&O - City Fac Maint,218 W. Cabarrus Street,Interfund Transfers In/Out,0,1483,FALSE
General Fund,PRCR - F&O - City Fac Maint,6716 Six Forks Road,Direct Expenses,-38541,239942.89,FALSE
General Fund,PRCR - F&O - City Fac Maint,6716 Six Forks Road,Interfund Transfers In/Out,0,3944,FALSE
General Fund,PRCR - F&O - City Fac Maint,900 S Wilmington St,Direct Expenses,37830,112559,FALSE
General Fund,PRCR - F&O - City Fac Maint,900 S Wilmington St,Interfund Transfers In/Out,0,7200,FALSE
General Fund,PRCR - F&O - City Fac Maint,Bldg Maint-215 S Person St,Direct Expenses,27238,70154,FALSE
General Fund,PRCR - F&O - City Fac Maint,Bldg Maint-215 S Person St,Interfund Transfers In/Out,0,7950,FALSE
General Fund,PRCR - F&O - City Fac Maint,Bldg Maint-SWS Facilities,Direct Expenses,48,3098.16,FALSE
General Fund,PRCR - F&O - City Fac Maint,Bldg Maint-SWS Facilities,Employee Benefits,-130.59,18309.56,FALSE
General Fund,PRCR - F&O - City Fac Maint,Bldg Maint-SWS Facilities,Salaries and Wages,21.22,77460.63,FALSE
General Fund,PRCR - F&O - City Fac Maint,Bldgs Maint Oep Operations,Direct Expenses,-86698.34,541098.88,FALSE
General Fund,PRCR - F&O - City Fac Maint,Bldgs Maint Oep Operations,Employee Benefits,690.99,20114.88,FALSE
General Fund,PRCR - F&O - City Fac Maint,Bldgs Maint Oep Operations,Interfund Transfers In/Out,0,1286,FALSE
General Fund,PRCR - F&O - City Fac Maint,Bldgs Maint Oep Operations,Miscellaneous,0,600,FALSE
General Fund,PRCR - F&O - City Fac Maint,Bldgs Maint Oep Operations,Salaries and Wages,1760.93,66196.16,FALSE
General Fund,PRCR - F&O - City Fac Maint,Bldgs Maintenance,Direct Expenses,-144219.16,1222702.91,FALSE
General Fund,PRCR - F&O - City Fac Maint,Bldgs Maintenance,Employee Benefits,38551.48,504530.49,FALSE
General Fund,PRCR - F&O - City Fac Maint,Bldgs Maintenance,Interfund Transfers In/Out,0,42034,FALSE
General Fund,PRCR - F&O - City Fac Maint,Bldgs Maintenance,Miscellaneous,1500,5336.5,FALSE
General Fund,PRCR - F&O - City Fac Maint,Bldgs Maintenance,Salaries and Wages,102701.58,1645882.72,FALSE
General Fund,PRCR - F&O - City Fac Maint,Critical Public Safety Ctr,Direct Expenses,960905,960905,FALSE
General Fund,PRCR - F&O - City Fac Maint,Critical Public Safety Ctr,Employee Benefits,71507.53,71507.53,FALSE
General Fund,PRCR - F&O - City Fac Maint,Critical Public Safety Ctr,Interfund Transfers In/Out,9600,9600,FALSE
General Fund,PRCR - F&O - City Fac Maint,Critical Public Safety Ctr,Miscellaneous,2950,2950,FALSE
General Fund,PRCR - F&O - City Fac Maint,Critical Public Safety Ctr,Salaries and Wages,199195,199195,FALSE
General Fund,PRCR - F&O - City Fac Maint,Devereaux Meadows-West St,Direct Expenses,356.96,35251.36,FALSE
General Fund,PRCR - F&O - City Fac Maint,Devereaux Meadows-West St,Interfund Transfers In/Out,0,1740,FALSE
General Fund,PRCR - F&O - City Fac Maint,DT Remote Ops (Westinghouse),Direct Expenses,501762,508963.95,FALSE
General Fund,PRCR - F&O - City Fac Maint,DT Remote Ops (Westinghouse),Employee Benefits,56514.53,56514.53,FALSE
General Fund,PRCR - F&O - City Fac Maint,DT Remote Ops (Westinghouse),Interfund Transfers In/Out,11100,11100,FALSE
General Fund,PRCR - F&O - City Fac Maint,DT Remote Ops (Westinghouse),Miscellaneous,4000,4000,FALSE
General Fund,PRCR - F&O - City Fac Maint,DT Remote Ops (Westinghouse),Salaries and Wages,144614,144614,FALSE
General Fund,PRCR - F&O - City Fac Maint,NE Remote Ops (Burwell & Spot),Capital Equipment,-74785,11015,FALSE
General Fund,PRCR - F&O - City Fac Maint,NE Remote Ops (Burwell & Spot),Direct Expenses,1108,415578.24,FALSE
General Fund,PRCR - F&O - City Fac Maint,NE Remote Ops (Burwell & Spot),Employee Benefits,3570.99,45359.89,FALSE
General Fund,PRCR - F&O - City Fac Maint,NE Remote Ops (Burwell & Spot),Interfund Transfers In/Out,0,8200,FALSE
General Fund,PRCR - F&O - City Fac Maint,NE Remote Ops (Burwell & Spot),Miscellaneous,0,1000,FALSE
General Fund,PRCR - F&O - City Fac Maint,NE Remote Ops (Burwell & Spot),Salaries and Wages,22103.2,133226.2,FALSE
General Fund,PRCR - F&O - Park Fac Maint,Aquatic Maintenance,Direct Expenses,37926.24,641728.29,FALSE
General Fund,PRCR - F&O - Park Fac Maint,Aquatic Maintenance,Employee Benefits,3485.13,83968.94,FALSE
General Fund,PRCR - F&O - Park Fac Maint,Aquatic Maintenance,Interfund Transfers In/Out,0,200580,FALSE
General Fund,PRCR - F&O - Park Fac Maint,Aquatic Maintenance,Miscellaneous,0,370,FALSE
General Fund,PRCR - F&O - Park Fac Maint,Aquatic Maintenance,Salaries and Wages,-11097.98,270243.45,FALSE
General Fund,PRCR - F&O - Park Fac Maint,Bldgs Maintenance,Direct Expenses,-79475.49,2614269.65,FALSE
General Fund,PRCR - F&O - Park Fac Maint,Bldgs Maintenance,Employee Benefits,42944.4,350862.75,FALSE
General Fund,PRCR - F&O - Park Fac Maint,Bldgs Maintenance,Interfund Transfers In/Out,7500,531007,FALSE
General Fund,PRCR - F&O - Park Fac Maint,Bldgs Maintenance,Miscellaneous,500,2674,FALSE
General Fund,PRCR - F&O - Park Fac Maint,Bldgs Maintenance,Salaries and Wages,148418.19,1103042.29,FALSE
General Fund,PRCR - F&O - Park Fac Maint,Fayetteville St Operations,Direct Expenses,-2456,62647.19,FALSE
General Fund,PRCR - F&O - Park Fac Maint,Fayetteville St Operations,Employee Benefits,503.73,17249.18,FALSE
General Fund,PRCR - F&O - Park Fac Maint,Fayetteville St Operations,Interfund Transfers In/Out,0,18625,FALSE
General Fund,PRCR - F&O - Park Fac Maint,Fayetteville St Operations,Salaries and Wages,2182.5,61235.68,FALSE
General Fund,PRCR - Parks - Cemetery Maint,Parks Operations,Direct Expenses,-4295,59149,FALSE
General Fund,PRCR - Parks - Cemetery Maint,Parks Operations,Employee Benefits,-7396.55,45892.69,FALSE
General Fund,PRCR - Parks - Cemetery Maint,Parks Operations,Salaries and Wages,-9925.08,159161.99,FALSE
General Fund,PRCR - Parks - Greenway Maint,Parks Operations,Capital Equipment,-26625,17541,FALSE
General Fund,PRCR - Parks - Greenway Maint,Parks Operations,Direct Expenses,38992,363537,FALSE
General Fund,PRCR - Parks - Greenway Maint,Parks Operations,Employee Benefits,23585.48,411754.92,FALSE
General Fund,PRCR - Parks - Greenway Maint,Parks Operations,Miscellaneous,0,1100,FALSE
General Fund,PRCR - Parks - Greenway Maint,Parks Operations,Salaries and Wages,59811.23,1141003.98,FALSE
General Fund,PRCR - Parks - Highway Maint,Parks Operations,Capital Equipment,-625,21493,FALSE
General Fund,PRCR - Parks - Highway Maint,Parks Operations,Direct Expenses,-26987,559584,FALSE
General Fund,PRCR - Parks - Highway Maint,Parks Operations,Employee Benefits,15194.49,346233.97,FALSE
General Fund,PRCR - Parks - Highway Maint,Parks Operations,Miscellaneous,0,3680,FALSE
General Fund,PRCR - Parks - Highway Maint,Parks Operations,Salaries and Wages,61776.12,1025867.82,FALSE
General Fund,PRCR - Parks - Urban Trees,Neighborwoods Tree Program,Direct Expenses,270,13358,FALSE
General Fund,PRCR - Parks - Urban Trees,Neighborwoods Tree Program,Employee Benefits,-2754,,FALSE
General Fund,PRCR - Parks - Urban Trees,Neighborwoods Tree Program,Miscellaneous,0,172,FALSE
General Fund,PRCR - Parks - Urban Trees,Neighborwoods Tree Program,Salaries and Wages,-1752,34248,FALSE
General Fund,PRCR - Parks - Urban Trees,Parks Operations,Capital Equipment,-2500,,FALSE
General Fund,PRCR - Parks - Urban Trees,Parks Operations,Direct Expenses,4996,394044,FALSE
General Fund,PRCR - Parks - Urban Trees,Parks Operations,Employee Benefits,21942.68,266165.91,FALSE
General Fund,PRCR - Parks - Urban Trees,Parks Operations,Miscellaneous,0,8702,FALSE
