Fund,Department,Division,Account,Amount,Current,Revenue,Annotation
Public Utilities Fund,Public Utilities Admin,Salaries and Wages,Holiday Pay,0,1024,false,0
General Fund,Inspections,Direct Expenses,Cellular/Wireless Voice Lines,-467.28,1032.72,false,0
General Fund,PRCR - Parks - Urban Trees,Employee Benefits,Medicare Temp,-111.94,1041.06,false,0
General Fund,IT Strategy & Planning,Direct Expenses,Operational & Maint Supplies,0,1045,false,0
Transit CAMPO Fund,Planning  - CAMPO,Direct Expenses,Telephone/Comm (Hard Lines),0,1050,false,0
General Fund,Planning,Employee Benefits,Medicare Temp,87.51,1062.57,false,0
General Fund,PRCR - F&O - Park Fac Maint,Employee Benefits,Medicare Temp,422.05,1073.1,false,0
SWS Operating Fund,Solid Waste Admin,Employee Benefits,Medicare Temp,725,1073.88,false,0
Housing Development-Operating,Community Development,Employee Benefits,Group Life Ad & Di,-127.77,1079.44,false,0
E 911 State Tax Fund-Operating,Emergency Communications,Salaries and Wages,Expense Allowance,1080,1080,false,0
Stormwater Utility Fund,Stormwater Management,Salaries and Wages,Holiday Pay,0,1085,false,0
General Fund,PRCR - F&O - Park Fac Maint,Miscellaneous,Licenses/Dues & Publications,0,1090,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Salaries and Wages,Holiday Pay,0,1090,false,0
General Fund,Budget & Management Services,Direct Expenses,Operational & Maint Supplies,0,1100,false,0
General Fund,Payroll,Miscellaneous,Licenses/Dues & Publications,0,1100,false,0
General Fund,PRCR - Business Process Mgmt,Salaries and Wages,Salaries-Ot For Ft Staff,0,1100,false,0
General Fund,Transportation Field Services,Direct Expenses,Telephone/Comm (Hard Lines),0,1100,false,0
Revolving Fund,Inspections,Direct Expenses,Operational & Maint Supplies,0,1100,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Box Office Services,100,1100,true,0
General Fund,Development Services,Direct Expenses,Cellular/Wireless Voice Lines,577,1117,false,0
General Fund,Fire Adm,Employee Benefits,FICA Temp,443.87,1118.48,false,0
Public Utilities Fund,PU Water Plant,Direct Expenses,Repairs-Office Equip,0,1120,false,0
General Fund,Office of Sustainability,Employee Benefits,Medicare Temp,11.09,1120.34,false,0
Revolving Fund,Fire Training,Direct Expenses,Cellular/Wireless Voice Lines,971,1121,false,0
General Fund,Human Resources,Employee Benefits,Medicare Temp,8.83,1124.42,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Employee Benefits,Group Life AD & D (Retiree),774.59,1128,false,0
General Fund,Office of Economic Development,Miscellaneous,Advertising,0,1150,false,0
Grants Fund,Community Svcs,Employee Benefits,Supplemental Retirement,1172.16,1172.16,false,0
General Fund,City Council,Direct Expenses,Small Equipment,0,1200,false,0
General Fund,City Manager,Miscellaneous,Records Storage Retention Svcs,-300,1200,false,0
General Fund,Emergency Communications,Direct Expenses,Uniforms,0,1200,false,0
General Fund,Finance Administration,Direct Expenses,Copier Maintenance/Impressions,0,1200,false,0
General Fund,IT Strategy & Planning,Direct Expenses,Motor Fuels & Lubricants,-1368,1200,false,0
General Fund,Office of Emerg Mgmt & Spec Ev,Direct Expenses,Telephone/Comm (Hard Lines),400,1200,false,0
General Fund,PRCR - Parks - Cemetery Maint,Direct Expenses,Uniforms,0,1200,false,0
General Fund,PRCR - Recreation-School Based,Direct Expenses,Contractual Svcs-Other,-2800,1200,false,0
General Fund,PRCR - Resources,Direct Expenses,Rental-Equipment,100,1200,false,0
General Fund,Public Affairs-RTN,Miscellaneous,Training & Travel & Reg,0,1200,false,0
General Fund,Purchasing,Direct Expenses,Copier Maintenance/Impressions,0,1200,false,0
General Fund,Treasury Office,Direct Expenses,Copier Maintenance/Impressions,0,1200,false,0
Parking Facilities Fund-Operat,Parking Operations,Direct Expenses,Wireless Data Comm,0,1200,false,0
Public Utilities Fund,PU Facilities Support,Direct Expenses,Repairs-Other Equip,0,1200,false,0
Public Utilities Fund,PU Facilities Support,Salaries and Wages,Expense Allowance,0,1200,false,0
Public Utilities Fund,Resource Recovery,Salaries and Wages,Expense Allowance,0,1200,false,0
Transit CAMPO Fund,Planning  - CAMPO,Direct Expenses,Repairs-Other Equip,0,1200,false,0
General Fund,Planning,Non-Program Revenues,Zoning-Code Violations,0,1200,true,0
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Special Event Parking Permit F,0,1200,true,0
Public Utilities Fund,Public Utilities Admin,Employee Benefits,Retirement Temp,0,1212.42,false,0
General Fund,PRCR - F&O - Park Fac Maint,Employee Benefits,Group Life Ad & Di,120.68,1218.91,false,0
General Fund,PRCR - Parks - Cemetery Maint,Employee Benefits,Employee Benefits,1222,1222,false,0
Revolving Fund,PRCR - Recreation,Employee Benefits,Retirement Temp,-329.3,1235.8,false,0
Grants Fund,Police Administrative Services,Employee Benefits,Social Security,1240,1240,false,0
General Fund,PRCR - F&O - Park Fac Maint,Direct Expenses,Water/Sewer Service,0,1240.39,false,0
General Fund,Police Administrative Services,Employee Benefits,Medicare Temp,2.94,1241.36,false,0
Walnut Creek Amph Operating Fd,Walnut Creek Amphitheatre,Employee Benefits,Supplemental Retirement,-844.42,1246.15,false,0
Grants Fund,PRCR - Business Process Mgmt,Miscellaneous,Mileage Reimb,1250,1250,false,0
Parking Facilities Fund-Operat,Parking Operations,Employee Benefits,Group Life Ad & Di,-6.94,1250.07,false,0
General Fund,PRCR - F&O - Park Fac Maint,Direct Expenses,Copier Maintenance/Impressions,0,1253,false,0
Public Transit Fund-Operating,Transit Operations,Employee Benefits,Dental Insurance,-43.92,1254.24,false,0
Public Utilities Fund,PU Capital Improvement Mgmt,Employee Benefits,Medicare Temp,9.57,1256.21,false,0
General Fund,Accounting & Fin Reporting,Employee Benefits,Group Life Ad & Di,92.89,1260,false,0
SWS Operating Fund,Solid Waste Admin,Direct Expenses,Security Services,0,1264,false,0
Rcc/Pac Operations Fund,RCC Facility,Direct Expenses,Print Copy-Rmb,1265,1265,false,0
General Fund,PRCR - Parks - Highway Maint,Direct Expenses,Cellular/Wireless Voice Lines,-392,1275,false,0
Walnut Creek Amph Operating Fd,Walnut Creek Amphitheatre,Salaries and Wages,Longevity,-986.62,1277.35,false,0
Public Transit Fund-Operating,Transit Operations,Interfund Transfers In/Out,To 501 Technology Cap Proj,-2888,1287,false,0
SWS Operating Fund,Solid Waste Admin,Employee Benefits,Group Life Ad & Di,13.19,1294.13,false,0
General Fund,Payroll,Employee Benefits,FICA Temp,9.42,1294.62,false,0
General Fund,Budget & Management Services,Miscellaneous,Records Storage Retention Svcs,0,1300,false,0
General Fund,Construction Mgmt,Miscellaneous,Records Storage Retention Svcs,0,1300,false,0
General Fund,Finance Administration,Miscellaneous,Mileage Reimb,0,1300,false,0
General Fund,Police Detective Division,Direct Expenses,Cable Tv Services,0,1300,false,0
General Fund,PRCR - F&O - City Fac Maint,Capital Equipment,Maintenance Equip,-70200,1300,false,0
General Fund,PRCR - Parks - Greenway Maint,Capital Equipment,Motor Vehicle Access/Upfit,0,1300,false,0
Transit CAMPO Fund,Planning  - CAMPO,Direct Expenses,Motor Fuels & Lubricants,-1000,1300,false,0
General Fund,Fire Adm,Direct Expenses,Photocopy Maint,0,1305,false,0
General Fund,Fire Support Svcs,Direct Expenses,Photocopy Maint,0,1305,false,0
Grants Fund,Community Svcs,Direct Expenses,Office Supplies,1325,1325,false,0
General Fund,PRCR - Parks -Park Maintenance,Direct Expenses,Print Copy-Rmb,-400,1326,false,0
General Fund,Police Chiefs Office,Employee Benefits,Retirement Temp,0,1332,false,0
General Fund,IT Enterprise Infrastructure M,Employee Benefits,Group Life Ad & Di,-145.14,1334.18,false,0
General Fund,City Manager,Employee Benefits,Group Life Ad & Di,158.01,1341.62,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Other Expense,To ISF-Prop/Liab Claims,75,1348,false,0
SWS Operating Fund,Solid Waste Recycling,Miscellaneous,Licenses/Dues & Publications,250,1350,false,0
General Fund,IT Enterprise Infrastructure M,Employee Benefits,FICA Temp,0,1364,false,0
General Fund,Fire Operations,Direct Expenses,Copier Maintenance/Impressions,0,1365,false,0
General Fund,Fire Training,Employee Benefits,FICA Temp,320.41,1365.05,false,0
General Fund,PRCR - Parks - Urban Trees,Direct Expenses,Rental-Equipment,0,1366,false,0
Transit CAMPO Fund,Planning  - CAMPO,Direct Expenses,Wireless Data Comm,-1633,1367,false,0
Public Utilities Fund,Public Utilities Admin,Employee Benefits,Medicare Temp,6.92,1367.44,false,0
General Fund,PRCR - Recreation-School Based,Direct Expenses,Wireless Data Comm,0,1368,false,0
General Fund,Housing & Neighborhoods Dept,Salaries and Wages,Longevity,1370.59,1370.59,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Interfund Transfers In/Out,To 501 Technology Cap Proj,-3544.47,1387.53,false,0
General Fund,PRCR - Recreation,Salaries and Wages,Occasional Employment,0,1395.72,false,0
General Fund,Construction Mgmt,Direct Expenses,Operational & Maint Supplies,-800,1400,false,0
General Fund,Inspections,Non-Program Revenues,Violations-Streets (Wcpss 90%),0,1400,true,0
Revolving Fund,Inspections,Inspections Training Program,Fees/Sales,0,1400,true,0
General Fund,Stormwater Street Maintenance,Employee Benefits,Group Life Ad & Di,26.92,1407.36,false,0
General Fund,PW-Safelight,Employee Benefits,Supplemental Retirement,-535.56,1413.75,false,0
General Fund,City Attorney,Employee Benefits,Medicare Temp,13.05,1422.45,false,0
General Fund,PRCR - Resources,Direct Expenses,Pest Control Service,-480,1425,false,0
General Fund,Planning,Direct Expenses,Telephone/Comm (Hard Lines),975,1450,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Direct Expenses,Office Supplies,-500,1450,false,0
SWS Operating Fund,Solid Waste Yardwaste Ctr,Direct Expenses,Computer Operations & Access,1462,1462,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Employee Benefits,Group Life Ad & Di,382.06,1475.99,false,0
Grants Fund,PRCR - Business Process Mgmt,Employee Benefits,Medicare,1488,1488,false,0
General Fund,PRCR - Parks - Cemetery Maint,Employee Benefits,FICA Temp,454.56,1488.56,false,0
General Fund,Accounting & Fin Reporting,Direct Expenses,Office Supplies,-3000,1500,false,0
General Fund,Budget & Management Services,Direct Expenses,Photocopy Maint,0,1500,false,0
General Fund,City Attorney,Direct Expenses,Repairs-Office Equip,0,1500,false,0
General Fund,City Council,Direct Expenses,Office Supplies,-200,1500,false,0
General Fund,City Manager,Direct Expenses,Print Copy-Rmb,-700,1500,false,0
General Fund,Construction Mgmt,Direct Expenses,Office Supplies,-1000,1500,false,0
General Fund,Development Services,Direct Expenses,Professional Svcs-Other,-4500,1500,false,0
General Fund,Office of Emerg Mgmt & Spec Ev,Direct Expenses,Print Copy-Rmb,1500,1500,false,0
General Fund,Office of Emerg Mgmt & Spec Ev,Direct Expenses,Vehicle Maint & Operation,0,1500,false,0
General Fund,Office of Sustainability,Direct Expenses,Photocopy Maint,0,1500,false,0
General Fund,Office of the Fire Marshall,Direct Expenses,Print Copy-Rmb,0,1500,false,0
General Fund,Planning,Miscellaneous,Mileage Reimb,10,1500,false,0
General Fund,Police Field Operations,Miscellaneous,Licenses/Dues & Publications,-1500,1500,false,0
General Fund,Police Special Operations,Miscellaneous,Licenses/Dues & Publications,0,1500,false,0
General Fund,PRCR - Business Process Mgmt,Direct Expenses,Operational & Maint Supplies,0,1500,false,0
General Fund,PRCR - Parks -Park Maintenance,Direct Expenses,Cleaning Supplies,0,1500,false,0
General Fund,PRCR - Recreation,Miscellaneous,Advertising,0,1500,false,0
General Fund,PRCR - Resources,Direct Expenses,Professional Svcs-Other,0,1500,false,0
General Fund,Public Affairs,Miscellaneous,Licenses/Dues & Publications,0,1500,false,0
General Fund,Purchasing,Direct Expenses,Photocopy Maint,200,1500,false,0
General Fund,Stormwater Street Maintenance,Capital Equipment,Street Maint Equip,0,1500,false,0
Housing Development-Operating,Community Development,Miscellaneous,Postage,0,1500,false,0
Parking Facilities Fund-Operat,Parking Operations,Capital Equipment,Communications Equip,-310,1500,false,0
Parking Facilities Fund-Operat,Parking Operations,Other Expense,Refunds,0,1500,false,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Direct Expenses,Print Copy-Rmb,-3500,1500,false,0
Public Transit Fund-Operating,Transit Operations,Direct Expenses,Print Copy-Rmb,0,1500,false,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Medical Services,0,1500,false,0
Public Utilities Fund,Resource Recovery,Direct Expenses,Water/Sewer Service,0,1500,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Direct Expenses,Broadband/Internet Fees,0,1500,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Miscellaneous,Mileage Reimb,-500,1500,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Miscellaneous,Postage,0,1500,false,0
Rcc/Pac Operations Fund,RCC Facility,Miscellaneous,Postage,-300,1500,false,0
Revolving Fund,Office of Sustainability,Direct Expenses,Rsv-Program,1500,1500,false,0
Transit CAMPO Fund,Planning  - CAMPO,Direct Expenses,Small Equipment,300,1500,false,0
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,Landlord Training Class Fees,-800,1500,true,0
General Fund,Planning,Non-Program Revenues,Insp Private Use-News Rack,-700,1500,true,0
General Fund,Neighborhood Code Enforcement,Employee Benefits,Group Life Ad & Di,86.24,1508.96,false,0
General Fund,Internal Audit Office,Miscellaneous,Licenses/Dues & Publications,0,1520,false,0
SWS Operating Fund,Solid Waste Recycling,Employee Benefits,Group Life Ad & Di,163.2,1528.01,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Administrative,Interest On Investments,0,1530,true,0
Transit CAMPO Fund,Planning  - CAMPO,Employee Benefits,FICA Temp,-36.75,1550,false,0
General Fund,Public Affairs-RTN,Employee Benefits,FICA Temp,-637.05,1565.5,false,0
General Fund,Police Administrative Services,Non-Program Revenues,Taxi Cab Fines (Wcpss 90%),0,1575,true,0
General Fund,Finance Administration,Employee Benefits,Dental Insurance,384.52,1593.6,false,0
Grants Fund,Police Administrative Services,Employee Benefits,Retirement,1594,1594,false,0
General Fund,Development Services,Direct Expenses,Telephone/Comm (Hard Lines),1600,1600,false,0
General Fund,Office of Economic Development,Direct Expenses,Motor Pool Vehicle Use Costs,0,1600,false,0
General Fund,Police Special Operations,Direct Expenses,Lawn & Grounds Svc,0,1600,false,0
General Fund,PRCR - Strategic Plan & Devel,Direct Expenses,Uniforms,100,1600,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Direct Expenses,Cable Tv Services,100,1600,false,0
General Fund,PRCR - Strategic Plan & Devel,Employee Benefits,Group Life Ad & Di,56.03,1613.02,false,0
General Fund,Inspections,Employee Benefits,Retirement Temp,-3700,1628,false,0
General Fund,IT Enterprise Infrastructure M,Employee Benefits,Retirement Temp,0,1628,false,0
General Fund,Public Works,Direct Expenses,Rsv-Wide Area Network,0,1648,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Direct Expenses,Rsv-Wide Area Network,0,1652,false,0
General Fund,PRCR - F&O - Park Fac Maint,Salaries and Wages,Holiday Pay,0,1689,false,0
General Fund,City Council,Employee Benefits,Medicare,116,1725.5,false,0
General Fund,Office of Economic Development,Miscellaneous,Mileage Reimb,0,1750,false,0
General Fund,PRCR - Business Process Mgmt,Miscellaneous,Records Storage Retention Svcs,50,1750,false,0
General Fund,Public Affairs-RTN,Direct Expenses,Contractual Svcs-Other,0,1750,false,0
Public Utilities Fund,PU Capital Improvement Mgmt,Direct Expenses,Office Supplies,0,1750,false,0
General Fund,PRCR - Parks - Cemetery Maint,Employee Benefits,Dental Insurance,-240.96,1755.36,false,0
General Fund,Office of Emerg Mgmt & Spec Ev,Employee Benefits,Dental Insurance,392.2,1769.24,false,0
General Fund,Information Technology Admin,Direct Expenses,Print Copy-Rmb,-2000,1800,false,0
General Fund,Office of Economic Development,Salaries and Wages,Expense Allowance,0,1800,false,0
Public Utilities Fund,PU Sewer Maintenance,Salaries and Wages,Expense Allowance,0,1800,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Other Expense,RCC/ PAC Hospitality Exp,-10200,1800,false,0
General Fund,Police Chiefs Office,Employee Benefits,Group Life Ad & Di,43.38,1812.96,false,0
General Fund,Human Resources,Employee Benefits,Group Life Ad & Di,41.48,1827.24,false,0
General Fund,PRCR - F&O - City Fac Maint,Salaries and Wages,Holiday Pay,0,1843,false,0
General Fund,Police Chiefs Office,Employee Benefits,FICA Temp,0,1849.65,false,0
Public Transit Fund-Operating,Transit Operations,Direct Expenses,Copier Maintenance/Impressions,0,1850,false,0
General Fund,Internal Audit Office,Direct Expenses,Computer Operations & Access,0,1860,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Employee Benefits,Medicare Temp,490.22,1888.48,false,0
General Fund,Development Services,Direct Expenses,Print Copy-Rmb,-6200,1900,false,0
General Fund,Office of Emerg Mgmt & Spec Ev,Direct Expenses,Cellular/Wireless Voice Lines,1900,1900,false,0
Public Transit Fund-Operating,Transit Operations,Salaries and Wages,Longevity,974.42,1907.1,false,0
General Fund,PRCR - Parks - Cemetery Maint,Direct Expenses,Computer Lease,1199,1929,false,0
General Fund,PRCR - Recreation,Direct Expenses,Computer Operations & Access,1630,1930,false,0
General Fund,PRCR - Resources,Direct Expenses,Telephone/Comm (Hard Lines),-1150,1935,false,0
General Fund,City Attorney,Employee Benefits,Group Life Ad & Di,150.1,1937.19,false,0
Public Transit Fund-Operating,Transit Operations,Direct Expenses,Photocopy Maint,0,1950,false,0
General Fund,PRCR - F&O - Park Fac Maint,Miscellaneous,Training & Travel & Reg,500,1954,false,0
General Fund,PRCR - Parks - Cemetery Maint,Employee Benefits,Medicare,-148.79,1959.72,false,0
General Fund,PRCR - F&O - City Fac Maint,Employee Benefits,Group Life Ad & Di,381.9,1962.66,false,0
General Fund,Internal Audit Office,Salaries and Wages,Longevity,1000.1,1962.73,false,0
General Fund,Community Svcs,Direct Expenses,Motor Fuels & Lubricants,-67,1983,false,0
General Fund,PRCR - Resources,Salaries and Wages,Expense Allowance,0,1983,false,0
Rcc/Pac Operations Fund,RCC Facility,Employee Benefits,Group Life AD & D (Retiree),1322.31,1997,false,0
General Fund,City Attorney,Capital Equipment,Office Furniture & Equip,0,2000,false,0
General Fund,City Attorney,Direct Expenses,Computer Operations & Access,0,2000,false,0
General Fund,City Clerk,Capital Equipment,Office Furniture & Equip,0,2000,false,0
General Fund,Construction Mgmt,Miscellaneous,Advertising,0,2000,false,0
General Fund,Construction Mgmt,Miscellaneous,Licenses/Dues & Publications,-1500,2000,false,0
General Fund,Finance Administration,Direct Expenses,Computer Lease,0,2000,false,0
General Fund,Fire Training,Miscellaneous,Advertising,-4000,2000,false,0
General Fund,Fire-Hazmat Operations,Direct Expenses,Wireless Data Comm,0,2000,false,0
General Fund,IT Customer Relationship Mgt,Direct Expenses,Rental-Real Property,1000,2000,false,0
General Fund,Neighborhood Code Enforcement,Miscellaneous,Records Storage Retention Svcs,2000,2000,false,0
General Fund,Office of Emerg Mgmt & Spec Ev,Direct Expenses,Office Supplies,1000,2000,false,0
General Fund,Office of Emerg Mgmt & Spec Ev,Direct Expenses,Operational & Maint Supplies,1000,2000,false,0
General Fund,Police Administrative Services,Direct Expenses,Repairs-Office Equip,0,2000,false,0
General Fund,Police Chiefs Office,Direct Expenses,Print Copy-Rmb,0,2000,false,0
General Fund,Police Special Operations,Direct Expenses,Medical Services,0,2000,false,0
General Fund,PRCR - Parks - Urban Trees,Direct Expenses,Landscape/Grounds Maint Suppli,2000,2000,false,0
General Fund,PRCR - Parks -Park Maintenance,Capital Equipment,Motor Vehicle Access/Upfit,0,2000,false,0
General Fund,PRCR - Parks -Park Maintenance,Direct Expenses,Repairs-Bldg/Structure,-42000,2000,false,0
General Fund,PRCR - Recreation,Direct Expenses,Waste Removal Service,0,2000,false,0
General Fund,PRCR - Recreation-School Based,Miscellaneous,Licenses/Dues & Publications,0,2000,false,0
General Fund,Public Affairs,Capital Equipment,Office Furniture & Equip,0,2000,false,0
General Fund,Public Affairs-RTN,Direct Expenses,Rental-Real Property,-1000,2000,false,0
General Fund,Stormwater Street Maintenance,Salaries and Wages,Holiday Pay,0,2000,false,0
General Fund,Transportation Field Services,Direct Expenses,Professional Svcs-Other,0,2000,false,0
General Fund,Transportation Field Services,Miscellaneous,Records Storage Retention Svcs,0,2000,false,0
Housing Development-Operating,Community Development,Direct Expenses,Print Copy-Rmb,0,2000,false,0
Housing Development-Operating,Community Development,Miscellaneous,Records Storage Retention Svcs,290,2000,false,0
Public Transit Fund-Operating,Transit Operations,Direct Expenses,Vehicle Maint & Operation,0,2000,false,0
Public Utilities Fund,PU Capital Improvement Mgmt,Direct Expenses,Small Equipment,0,2000,false,0
Public Utilities Fund,PU Capital Improvement Mgmt,Miscellaneous,Professional Certification,0,2000,false,0
Public Utilities Fund,PU Facilities Support,Direct Expenses,Print Copy-Rmb,0,2000,false,0
Public Utilities Fund,PU Sewer Maintenance,Direct Expenses,Computer Operations & Access,600,2000,false,0
Public Utilities Fund,Public Utilities Admin,Miscellaneous,Mileage Reimb,0,2000,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Other Expense,RCC/ PAC Decorating Exp,0,2000,false,0
Rcc/Pac Operations Fund,RCC Facility,Other Expense,RCC/ PAC Decorating Exp,0,2000,false,0
Rcc/Pac Operations Fund,RCC/PAC Special Events,Miscellaneous,Promotions,0,2000,false,0
Transit CAMPO Fund,Planning  - CAMPO,Miscellaneous,Mileage Reimb,0,2000,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Administrative,Misc Fees & Chgs-Rccc/Pac,2000,2000,true,0
Revolving Fund,Planning,Appearance Commission,Donations/Contributions,0,2000,true,0
General Fund,IT Application Support,Employee Benefits,Group Life Ad & Di,200.19,2000.9,false,0
Public Transit Fund-Operating,Transit Operations,Direct Expenses,Office Supplies,0.26,2001,false,0
Public Utilities Fund,PU Facilities Support,Employee Benefits,FICA Temp,0,2010.78,false,0
General Fund,Office of Emerg Mgmt & Spec Ev,Direct Expenses,Computer Lease,430,2012,false,0
General Fund,Inspections,Employee Benefits,FICA Temp,-2473.8,2027.4,false,0
General Fund,PRCR - Parks - Urban Trees,Direct Expenses,Equipment Repair Parts,2047,2047,false,0
Public Utilities Fund,PU Water Distribution,Direct Expenses,Computer Operations & Access,1050,2050,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Employee Benefits,Opeb- Post Employment Benefits,-4175.26,2073,false,0
General Fund,Office of the Fire Marshall,Employee Benefits,Group Life Ad & Di,163.46,2088.96,false,0
General Fund,City Council,Direct Expenses,Computer Lease,0,2100,false,0
General Fund,City Council,Direct Expenses,Photocopy Maint,90,2100,false,0
General Fund,Finance Administration,Miscellaneous,Licenses/Dues & Publications,-3100,2100,false,0
General Fund,Office of Sustainability,Miscellaneous,Licenses/Dues & Publications,0,2100,false,0
General Fund,Police Chiefs Office,Direct Expenses,Special Projects & Programs,0,2100,false,0
General Fund,Public Works,Direct Expenses,Print Copy-Rmb,0,2103,false,0
General Fund,Fire Support Svcs,Employee Benefits,Retirement Temp,-922.04,2109,false,0
General Fund,PRCR - Parks - Urban Trees,Direct Expenses,Cellular/Wireless Voice Lines,-488,2124,false,0
General Fund,Treasury Office,Direct Expenses,Computer Lease,50,2150,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Direct Expenses,Cellular/Wireless Voice Lines,-25,2150,false,0
Public Utilities Fund,PU Utility Billing,Employee Benefits,Group Life Ad & Di,64.48,2155.87,false,0
General Fund,PRCR - Resources,Employee Benefits,Group Life Ad & Di,115,2173.52,false,0
General Fund,Community Svcs,Direct Expenses,Photocopy Maint,0,2187,false,0
General Fund,City Clerk,Employee Benefits,Dental Insurance,284.16,2187.32,false,0
General Fund,Finance Administration,Direct Expenses,Photocopy Maint,0,2200,false,0
General Fund,Neighborhood Code Enforcement,Direct Expenses,Print Copy-Rmb,0,2200,false,0
General Fund,Office of Economic Development,Direct Expenses,Office Supplies,0,2200,false,0
General Fund,Planning,Direct Expenses,Motor Pool Vehicle Use Costs,-1415,2200,false,0
General Fund,Public Affairs,Miscellaneous,Postage - Dept Charges,0,2200,false,0
General Fund,Treasury Office,Direct Expenses,Photocopy Maint,0,2200,false,0
Public Utilities Fund,PU Facilities Support,Direct Expenses,Credit Card Fees,0,2200,false,0
Revolving Fund,PRCR - Recreation,Capital Equipment,Appliances,0,2200,false,0
General Fund,Information Technology Admin,Employee Benefits,FICA Temp,-5641.26,2207.76,false,0
General Fund,Fire-Hazmat Operations,Direct Expenses,Office Supplies,0,2250,false,0
General Fund,Police Field Operations,Direct Expenses,Computer Lease,0,2250,false,0
Public Utilities Fund,PU Capital Improvement Mgmt,Employee Benefits,Group Life Ad & Di,657.5,2251.68,false,0
General Fund,PRCR - Strategic Plan & Devel,Employee Benefits,FICA Temp,34.29,2260.09,false,0
General Fund,PRCR - Parks - Urban Trees,Direct Expenses,Safety/Medical Supplies,269,2269,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Direct Expenses,Motor Fuels & Lubricants,2288,2288,false,0
Transit CAMPO Fund,Planning  - CAMPO,Direct Expenses,Vehicle Maint & Operation,0,2300,false,0
General Fund,PRCR - F&O - City Fac Maint,Direct Expenses,Photocopy Maint,1020,2301,false,0
SWS Operating Fund,Solid Waste Yardwaste Ctr,Direct Expenses,Wireless Data Comm,0,2306,false,0
Public Utilities Fund,PU Facilities Support,Employee Benefits,Retirement Temp,0,2311.17,false,0
General Fund,PRCR - Parks -Park Maintenance,Capital Equipment,Communications Equip,-3302,2323,false,0
General Fund,Office of the Fire Marshall,Employee Benefits,Medicare Temp,0,2334.82,false,0
Rcc/Pac Operations Fund,RCC Facility,Employee Benefits,Group Life Ad & Di,521.44,2343.51,false,0
General Fund,Neighborhood Code Enforcement,Capital Equipment,Communications Equip,-1253,2347,false,0
General Fund,PRCR - Parks - Cemetery Maint,Salaries and Wages,Longevity,-1836.72,2360.42,false,0
Stormwater Utility Fund,Stormwater Management,Employee Benefits,FICA Temp,412.23,2364.37,false,0
General Fund,Emergency Communications,Direct Expenses,Small Equipment,-1475,2365,false,0
General Fund,Office of Sustainability,Employee Benefits,Dental Insurance,471.36,2365.2,false,0
General Fund,PRCR - Recreation,Employee Benefits,Retirement Temp,-355.52,2385.66,false,0
General Fund,Police Field Operations,Salaries and Wages,Expense Allowance,0,2400,false,0
Public Transit Fund-Operating,Transit Operations,Employee Benefits,Medicare Supplement,0,2400,false,0
SWS Operating Fund,Solid Waste Yardwaste Ctr,Direct Expenses,Uniforms,0,2400,false,0
General Fund,Treasury Office,Employee Benefits,Dental Insurance,-59.8,2408.6,false,0
General Fund,Office of Economic Development,Miscellaneous,Licenses/Dues & Publications,-2655,2420,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Employee Benefits,Dental Insurance,654.7,2431.53,false,0
Housing Development-Operating,Community Development,Interfund Transfers In/Out,To 310 W/S Reimb,100,2450,false,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 736 For W/S Reimb,100,2450,true,0
General Fund,City Manager,Employee Benefits,FICA Temp,12.15,2454.21,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Direct Expenses,Service Contracts-Other,130,2470,false,0
Public Utilities Fund,Public Utilities Admin,Employee Benefits,Group Life Ad & Di,-115.86,2473.43,false,0
Housing Development-Operating,Community Development,Employee Benefits,FICA Temp,1306.84,2480,false,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Other Expense,To Isf-Sir Workers Comp,1750,2484,false,0
Revolving Fund,PRCR - Recreation,Other Expense,To ISF-WC Excess Premium,0,2487,false,0
